dst_path,image_path,design_name,file_name,designer
C:\Users\Asus\all pendrive design\dual hybrid\Krishna offer design\2394\FULL.DST,C:\Users\Asus\embroidery-finder\dst_images\2394_FULL.png,2394,FULL.DST,Krishna
C:\Users\Asus\all pendrive design\dual hybrid\Krishna offer design\2394\sleeve line.DST,C:\Users\Asus\embroidery-finder\dst_images\2394_sleeve line.png,2394,sleeve line.DST,Krishna
C:\Users\Asus\all pendrive design\dual hybrid\Krishna offer design\2810\front.DST,C:\Users\Asus\embroidery-finder\dst_images\2810_front.png,2810,front.DST,Krishna
C:\Users\Asus\all pendrive design\dual hybrid\Krishna offer design\2810\FULL.DST,C:\Users\Asus\embroidery-finder\dst_images\2810_FULL.png,2810,FULL.DST,Krishna
C:\Users\Asus\all pendrive design\dual hybrid\Krishna offer design\2810\SLEEVE BUTTA.DST,C:\Users\Asus\embroidery-finder\dst_images\2810_SLEEVE BUTTA.png,2810,SLEEVE BUTTA.DST,Krishna
C:\Users\Asus\all pendrive design\dual hybrid\Krishna offer design\2810\SLEEVE LINE.DST,C:\Users\Asus\embroidery-finder\dst_images\2810_SLEEVE LINE.png,2810,SLEEVE LINE.DST,Krishna
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\0456 design\back (2).DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_0456 design_back (2).png,0456 design,back (2).DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\0456 design\hand full.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_0456 design_hand full.png,0456 design,hand full.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\0456 design\LN Dgn - 0456 F.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_0456 design_LN Dgn - 0456 F.png,0456 design,LN Dgn - 0456 F.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\0456 design\LN Dgn - 0456 H1.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_0456 design_LN Dgn - 0456 H1.png,0456 design,LN Dgn - 0456 H1.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\0456 design\LN Dgn - 0456 Hs.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_0456 design_LN Dgn - 0456 Hs.png,0456 design,LN Dgn - 0456 Hs.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\0456 design\LN Dgn - 0456 SHORT HAND.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_0456 design_LN Dgn - 0456 SHORT HAND.png,0456 design,LN Dgn - 0456 SHORT HAND.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\0572\5-6-10.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_0572_5-6-10.png,0572,5-6-10.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\0572\f.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_0572_f.png,0572,f.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\0572\front.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_0572_front.png,0572,front.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\0572\h1.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_0572_h1.png,0572,h1.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\0572\LN Dgn - 0572 B.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_0572_LN Dgn - 0572 B.png,0572,LN Dgn - 0572 B.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\0572\LN Dgn - 0572 B1.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_0572_LN Dgn - 0572 B1.png,0572,LN Dgn - 0572 B1.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\0572\LN Dgn - 0572 back.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_0572_LN Dgn - 0572 back.png,0572,LN Dgn - 0572 back.DST,Bindu
C:\Users\Asus\all pendrive design\dual hybrid\Bindu Design\0572\LN Dgn - 0572 F.DST,C:\Users\Asus\embroidery-finder\dst_images\Bindu_0572_LN Dgn - 0572 F.png,0572,LN Dgn - 0572 F.DST,Bindu
